Experiment,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
bart-large-cnn__samsum,0.24471397757778857,0.09124503444366491,0.18553625741880303,0.18576954124773315
qwen2.5-1.5b-instruct__samsum,0.1975545866705247,0.05632966577479762,0.14060226773440732,0.1495190331907491
llama-3.2-1b-instruct__samsum,0.2560011988574068,0.08342808702481806,0.19335432326810106,0.19328147677525973
t5-small__samsum,0.22609582348307564,0.06231264161168963,0.17508982849437565,0.17500624657752756
flan-t5-base__samsum,0.47327175271120403,0.2301384734574043,0.3958267234707027,0.39570769838195674
